Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1961","1961","kg/ha","11068.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1962","1962","kg/ha","12239.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1963","1963","kg/ha","12724.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1964","1964","kg/ha","13218.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1965","1965","kg/ha","12534","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1966","1966","kg/ha","13096","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1967","1967","kg/ha","12836.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1968","1968","kg/ha","13154.3","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1969","1969","kg/ha","14611.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1970","1970","kg/ha","14558.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1971","1971","kg/ha","15148.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1972","1972","kg/ha","12360.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1973","1973","kg/ha","16273.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1974","1974","kg/ha","14342.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1975","1975","kg/ha","17275.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1976","1976","kg/ha","14050.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1977","1977","kg/ha","16143","E","Estimated value",""
