Area,Item,Year,Area_Harvested,Yield
China,Apples,1961,90000.0,1855.6
China,Apples,1962,95000.0,2368.4
China,Apples,1963,95000.0,2610.5
China,Apples,1964,100000.0,3000.0
China,Apples,1965,110000.0,2890.9
China,Apples,1966,210000.0,2381.0
China,Apples,1967,210000.0,3000.0
China,Apples,1968,280000.0,2678.6
China,Apples,1969,250000.0,4000.0
China,Apples,1970,250000.0,3192.0
China,Apples,1971,260000.0,3284.6
China,Apples,1972,280000.0,3035.7
China,Apples,1973,430300.0,3032.0
China,Apples,1974,385400.0,3010.8
China,Apples,1975,485400.0,3268.9
China,Apples,1976,540500.0,3211.7
China,Apples,1977,581000.0,3647.0
China,Apples,1978,601198.0,3813.3
China,Apples,1979,777994.0,3715.6
China,Apples,1980,744521.0,3200.7
China,Apples,1981,728412.0,4147.3
China,Apples,1982,722417.0,3379.0
China,Apples,1983,727072.0,4886.7
China,Apples,1984,758840.0,3893.5
China,Apples,1985,758855.0,4780.6
China,Apples,1986,1175839.0,2851.2
China,Apples,1987,1444870.0,2963.1
China,Apples,1988,1662928.0,2619.8
China,Apples,1989,1692338.0,2669.0
China,Apples,1990,1635520.0,2648.7
China,Apples,1991,1663890.0,2739.0
China,Apples,1992,1916923.0,3426.6
China,Apples,1993,2251281.0,4032.2
China,Apples,1994,2691370.0,4138.2
China,Apples,1995,2954123.0,4744.9
China,Apples,1996,2987963.0,5709.7
China,Apples,1997,2839388.0,6067.4
China,Apples,1998,2622497.0,7432.0
China,Apples,1999,2439868.0,8529.1
China,Apples,2000,2254759.0,9064.0
China,Apples,2001,2066922.0,9687.2
China,Apples,2002,1939071.0,9927.8
China,Apples,2003,1901129.0,11101.4
China,Apples,2004,1877321.0,12614.8
China,Apples,2005,1890908.0,12701.2
China,Apples,2006,1899408.0,13722.7
China,Apples,2007,1962368.0,14200.1
China,Apples,2008,1992666.0,14980.3
China,Apples,2009,2049536.0,15459.3
China,Apples,2010,2140171.0,15543.2
China,Apples,2011,2177495.0,16526.6
China,Apples,2012,2231519.0,17249.5
