Area,Item,Year,Area_Harvested,Yield
South Africa,Apples,1961,7000.0,13692.0
South Africa,Apples,1962,8000.0,13241.4
South Africa,Apples,1963,8000.0,14530.0
South Africa,Apples,1964,10000.0,14915.8
South Africa,Apples,1965,10000.0,13903.5
South Africa,Apples,1966,12000.0,15896.3
South Africa,Apples,1967,12000.0,15274.5
South Africa,Apples,1968,15000.0,14136.9
South Africa,Apples,1969,15000.0,13833.5
South Africa,Apples,1970,15000.0,14817.0
South Africa,Apples,1971,17000.0,14304.1
South Africa,Apples,1972,18000.0,17652.1
South Africa,Apples,1973,18000.0,15771.7
South Africa,Apples,1974,18000.0,15756.3
South Africa,Apples,1975,19000.0,18720.2
South Africa,Apples,1976,19000.0,19527.3
South Africa,Apples,1977,19000.0,14809.1
South Africa,Apples,1978,20000.0,19071.5
South Africa,Apples,1979,20000.0,18173.2
South Africa,Apples,1980,21000.0,20306.2
South Africa,Apples,1981,21000.0,18769.7
South Africa,Apples,1982,21000.0,21951.8
South Africa,Apples,1983,20000.0,17977.3
South Africa,Apples,1984,21000.0,23033.1
South Africa,Apples,1985,20000.0,20111.5
South Africa,Apples,1986,20900.0,21044.8
South Africa,Apples,1987,20000.0,19577.8
South Africa,Apples,1988,21100.0,26291.1
South Africa,Apples,1989,21300.0,23859.2
South Africa,Apples,1990,20500.0,20992.4
South Africa,Apples,1991,21200.0,24295.9
South Africa,Apples,1992,21700.0,24028.6
South Africa,Apples,1993,23800.0,25020.3
South Africa,Apples,1994,22500.0,24484.5
South Africa,Apples,1995,21000.0,24402.9
South Africa,Apples,1996,23000.0,26805.3
South Africa,Apples,1997,21000.0,25639.7
South Africa,Apples,1998,22000.0,26193.8
South Africa,Apples,1999,24000.0,25986.5
South Africa,Apples,2000,21522.0,27970.3
South Africa,Apples,2001,21476.0,28674.1
South Africa,Apples,2002,21204.0,29396.4
South Africa,Apples,2003,27126.0,30125.3
South Africa,Apples,2004,24845.0,30805.2
South Africa,Apples,2005,21326.0,31831.7
South Africa,Apples,2006,20633.0,30703.0
South Africa,Apples,2007,22000.0,32201.4
South Africa,Apples,2008,23000.0,33832.2
South Africa,Apples,2009,21000.0,38938.0
South Africa,Apples,2010,20449.0,35416.9
South Africa,Apples,2011,21919.0,35637.6
South Africa,Apples,2012,22900.0,34749.3
South Africa,Apples,2013,24819.0,36417.7
South Africa,Apples,2014,20829.0,37339.2
South Africa,Apples,2015,24626.0,37942.4
South Africa,Apples,2016,23757.0,38563.8
South Africa,Apples,2017,23727.0,39154.1
South Africa,Apples,2018,20870.0,39751.9
South Africa,Apples,2019,22164.0,40399.7
South Africa,Apples,2020,24429.0,40885.9
South Africa,Apples,2021,27612.0,41604.0
South Africa,Apples,2022,29542.0,41698.4
South Africa,Apples,2023,28416.0,42190.8
South Africa,Apples,2024,31099.0,42687.5
South Africa,Bananas,1961,7452.0,7384.9
South Africa,Bananas,1962,7623.0,4878.7
South Africa,Bananas,1963,6647.0,8011.4
South Africa,Bananas,1964,6638.0,4320.7
South Africa,Bananas,1965,7314.0,3957.2
South Africa,Bananas,1966,7143.0,5372.8
South Africa,Bananas,1967,8017.0,6464.8
South Africa,Bananas,1968,4771.0,9567.2
South Africa,Bananas,1969,5310.0,12851.4
