Area,Item,Year,Area_Harvested,Yield
United States of America,Apples,1961,184780.0,13984.2
United States of America,Apples,1962,182390.0,14151.0
United States of America,Apples,1963,182390.0,14304.5
United States of America,Apples,1964,182630.0,15692.9
United States of America,Apples,1965,175270.0,15890.6
United States of America,Apples,1966,170290.0,15346.3
United States of America,Apples,1967,166240.0,14749.0
United States of America,Apples,1968,163450.0,15114.3
United States of America,Apples,1969,162840.0,18996.0
United States of America,Apples,1970,162880.0,17816.4
United States of America,Apples,1971,162760.0,17761.2
United States of America,Apples,1972,163980.0,16261.5
United States of America,Apples,1973,161510.0,17594.8
United States of America,Apples,1974,160250.0,18623.9
United States of America,Apples,1975,160090.0,21335.1
United States of America,Apples,1976,163170.0,17991.8
United States of America,Apples,1977,163250.0,18726.0
United States of America,Apples,1978,163610.0,21061.5
United States of America,Apples,1979,164950.0,22345.7
United States of America,Apples,1980,166810.0,23979.4
United States of America,Apples,1981,167900.0,20909.0
United States of America,Apples,1982,169280.0,21763.1
United States of America,Apples,1983,171790.0,22122.4
United States of America,Apples,1984,171140.0,22062.1
United States of America,Apples,1985,174300.0,20596.7
United States of America,Apples,1986,179030.0,19911.7
United States of America,Apples,1987,183040.0,26620.4
United States of America,Apples,1988,187605.0,22067.6
United States of America,Apples,1989,194600.0,23222.0
United States of America,Apples,1990,191600.0,22860.1
United States of America,Apples,1991,181785.0,24220.3
United States of America,Apples,1992,184152.0,26031.7
United States of America,Apples,1993,185933.0,26066.8
United States of America,Apples,1994,187208.0,27865.9
United States of America,Apples,1995,187208.0,25630.8
United States of America,Apples,1996,189211.0,24888.4
United States of America,Apples,1997,189373.0,24727.9
United States of America,Apples,1998,188685.0,27997.6
United States of America,Apples,1999,183809.0,26236.0
United States of America,Apples,2000,175492.0,27348.3
United States of America,Apples,2001,165638.0,25804.5
United States of America,Apples,2002,159770.0,24199.6
United States of America,Apples,2003,157281.0,25321.5
United States of America,Apples,2004,154533.0,30562.1
United States of America,Apples,2005,149354.0,29358.7
United States of America,Apples,2006,145683.0,30585.7
United States of America,Apples,2007,142000.0,29034.4
United States of America,Apples,2008,141151.0,30924.7
United States of America,Apples,2009,139576.0,31483.0
United States of America,Apples,2010,136217.0,30908.7
United States of America,Apples,2011,133870.0,31984.2
United States of America,Apples,2012,131604.0,30993.3
United States of America,Apples,2013,130661.0,36213.5
United States of America,Apples,2014,128763.0,41617.1
United States of America,Apples,2015,131030.0,34776.7
United States of America,Apples,2016,133060.0,39185.6
United States of America,Apples,2017,132820.0,39456.9
United States of America,Apples,2018,117600.0,39496.5
United States of America,Apples,2019,119301.0,42149.8
United States of America,Apples,2020,119707.0,38971.8
United States of America,Apples,2021,121205.0,37694.9
United States of America,Apples,2022,122338.0,36984.3
United States of America,Apples,2023,121407.0,42862.8
United States of America,Apples,2024,121205.0,40615.8
United States of America,Bananas,1961,380.0,10544.7
United States of America,Bananas,1962,360.0,9713.9
United States of America,Bananas,1963,308.0,9198.1
United States of America,Bananas,1964,360.0,11466.7
United States of America,Bananas,1965,384.0,8458.3
United States of America,Bananas,1966,409.0,9753.1
United States of America,Bananas,1967,409.0,8978.0
United States of America,Bananas,1968,388.0,7582.5
United States of America,Bananas,1969,376.0,7444.1
United States of America,Bananas,1970,308.0,8233.8
United States of America,Bananas,1971,293.0,7276.5
United States of America,Bananas,1972,291.0,7948.5
United States of America,Bananas,1973,267.0,11209.7
United States of America,Bananas,1974,247.0,12121.5
United States of America,Bananas,1975,255.0,11027.5
United States of America,Bananas,1976,223.0,10148.0
United States of America,Bananas,1977,223.0,11798.2
United States of America,Bananas,1978,230.0,11260.9
United States of America,Bananas,1979,250.0,10160.0
United States of America,Bananas,1980,230.0,9087.0
United States of America,Bananas,1981,260.0,10461.5
United States of America,Bananas,1982,290.0,9069.0
United States of America,Bananas,1983,350.0,5828.6
United States of America,Bananas,1984,350.0,11542.9
United States of America,Bananas,1985,340.0,10882.4
United States of America,Bananas,1986,397.0,11083.1
United States of America,Bananas,1987,433.0,11940.0
United States of America,Bananas,1988,433.0,13856.8
United States of America,Bananas,1989,405.0,13432.1
United States of America,Bananas,1990,360.0,14238.9
United States of America,Bananas,1991,360.0,14363.9
United States of America,Bananas,1992,352.0,15454.5
United States of America,Bananas,1993,336.0,15922.6
United States of America,Bananas,1994,356.0,17584.3
United States of America,Bananas,1995,356.0,16573.0
United States of America,Bananas,1996,388.0,15206.2
United States of America,Bananas,1997,384.0,16171.9
United States of America,Bananas,1998,575.0,16565.2
United States of America,Bananas,1999,575.0,19405.2
United States of America,Bananas,2000,591.0,22257.2
United States of America,Bananas,2001,603.0,21063.0
United States of America,Bananas,2002,538.0,16858.7
