Area,Item,Year,Area_Harvested,Yield
Australia,Apples,1961,26656.0,11068.2
Australia,Apples,1962,26658.0,12239.6
Australia,Apples,1963,27473.0,12724.2
Australia,Apples,1964,27794.0,13218.6
Australia,Apples,1965,28722.0,12534.0
Australia,Apples,1966,28778.0,13096.0
Australia,Apples,1967,28818.0,12836.6
Australia,Apples,1968,28408.0,13154.3
Australia,Apples,1969,28911.0,14611.9
Australia,Apples,1970,29127.0,14558.9
Australia,Apples,1971,29219.0,15148.9
Australia,Apples,1972,29138.0,12360.7
Australia,Apples,1973,26200.0,16273.4
Australia,Apples,1974,23100.0,14342.1
Australia,Apples,1975,21000.0,17275.1
Australia,Apples,1976,19560.0,14050.7
Australia,Apples,1977,18680.0,16143.0
Australia,Apples,1978,17800.0,14514.6
Australia,Apples,1979,17890.0,19281.6
Australia,Apples,1980,18340.0,16292.9
Australia,Apples,1981,18300.0,16771.6
Australia,Apples,1982,18200.0,16180.0
Australia,Apples,1983,18300.0,16438.5
Australia,Apples,1984,18200.0,14670.2
Australia,Apples,1985,18440.0,19088.9
Australia,Apples,1986,19200.0,15000.0
Australia,Apples,1987,19100.0,17002.1
Australia,Apples,1988,19130.0,15672.1
Australia,Apples,1989,19764.0,16345.1
Australia,Apples,1990,21100.0,15137.6
Australia,Apples,1991,20400.0,14153.4
Australia,Apples,1992,19700.0,16045.7
Australia,Apples,1993,19700.0,16639.2
Australia,Apples,1994,19720.0,15563.9
Australia,Apples,1995,19750.0,16028.1
Australia,Apples,1996,19750.0,14184.7
Australia,Apples,1997,19755.0,17872.4
Australia,Apples,1998,19760.0,15630.4
Australia,Apples,1999,19760.0,16920.7
Australia,Apples,2000,19700.0,16226.0
Australia,Apples,2001,25000.0,12106.7
Australia,Apples,2002,22000.0,13193.8
Australia,Apples,2003,21000.0,15527.2
Australia,Apples,2004,20500.0,13916.2
Australia,Apples,2005,20500.0,22080.5
Australia,Apples,2006,20000.0,15062.5
Australia,Apples,2007,20000.0,18899.0
Australia,Apples,2008,16441.0,16147.4
Australia,Apples,2009,22000.0,13415.2
Australia,Apples,2010,16792.0,15745.7
Australia,Apples,2011,18790.0,15954.5
Australia,Apples,2012,18056.0,16009.1
Australia,Apples,2013,18015.0,16035.0
Australia,Apples,2014,16704.0,15970.7
Australia,Apples,2015,18508.0,15949.9
Australia,Apples,2016,19315.0,15961.7
Australia,Apples,2017,19647.0,15968.6
Australia,Apples,2018,16830.0,15945.0
