Area,Item,Year,Area_Harvested,Yield
India,Apples,1961,44500.0,4157.3
India,Apples,1962,38500.0,4155.8
India,Apples,1963,33700.0,4154.3
India,Apples,1964,26500.0,4150.9
India,Apples,1965,21700.0,4147.5
India,Apples,1966,23500.0,4148.9
India,Apples,1967,30600.0,4150.3
India,Apples,1968,39300.0,4147.6
India,Apples,1969,48500.0,4144.3
India,Apples,1970,66800.0,4146.7
India,Apples,1971,84800.0,4150.9
India,Apples,1972,91600.0,4727.1
India,Apples,1973,101200.0,5088.9
India,Apples,1974,108500.0,5456.2
India,Apples,1975,115700.0,4408.0
India,Apples,1976,120500.0,4149.4
India,Apples,1977,121620.0,4139.9
India,Apples,1978,125640.0,4338.3
India,Apples,1979,130370.0,5078.0
India,Apples,1980,138900.0,4737.2
India,Apples,1981,145890.0,5632.9
India,Apples,1982,153750.0,6029.1
India,Apples,1983,161710.0,5977.4
India,Apples,1984,164940.0,5977.3
India,Apples,1985,168230.0,5977.3
India,Apples,1986,165000.0,7624.2
India,Apples,1987,178305.0,4831.1
India,Apples,1988,185083.0,5377.6
India,Apples,1989,186660.0,5808.0
India,Apples,1990,187198.0,5843.5
India,Apples,1991,193638.0,6068.0
India,Apples,1992,194561.0,5899.1
India,Apples,1993,191256.0,6108.3
India,Apples,1994,200000.0,6500.0
India,Apples,1995,210000.0,5714.3
India,Apples,1996,217099.0,5579.8
India,Apples,1997,222700.0,5875.1
India,Apples,1998,227680.0,5800.2
India,Apples,1999,231000.0,5974.0
India,Apples,2000,230000.0,4565.2
India,Apples,2001,240000.0,5125.0
India,Apples,2002,240000.0,4833.3
India,Apples,2003,250000.0,5880.0
India,Apples,2004,201200.0,7562.6
India,Apples,2005,230700.0,7537.9
India,Apples,2006,226600.0,8005.3
India,Apples,2007,252000.0,6444.4
India,Apples,2008,264000.0,7579.5
India,Apples,2009,274000.0,7244.5
India,Apples,2010,282900.0,6282.1
India,Apples,2011,289100.0,10000.0
India,Apples,2012,321900.0,6845.0
India,Apples,2013,312000.0,6137.8
India,Apples,2014,313040.0,7978.8
India,Apples,2015,319000.0,6689.7
India,Apples,2016,277000.0,9101.1
India,Apples,2017,305000.0,7426.2
India,Apples,2018,301000.0,7730.9
India,Apples,2019,308000.0,7519.5
India,Apples,2020,310000.0,9077.4
India,Apples,2021,313000.0,7271.6
India,Apples,2022,315000.0,8219.0
India,Apples,2023,304000.0,9460.5
India,Apples,2024,304130.0,8634.1
India,Bananas,1961,165000.0,13678.8
India,Bananas,1962,181000.0,13397.8
India,Bananas,1963,193000.0,13476.7
India,Bananas,1964,198000.0,13555.6
India,Bananas,1965,211000.0,15502.4
India,Bananas,1966,209000.0,16325.4
India,Bananas,1967,208000.0,15399.0
India,Bananas,1968,220000.0,14204.5
India,Bananas,1969,229800.0,13805.5
India,Bananas,1970,224500.0,12903.3
India,Bananas,1971,224700.0,15016.0
India,Bananas,1972,219400.0,14539.7
India,Bananas,1973,222800.0,14215.0
India,Bananas,1974,235200.0,13920.5
India,Bananas,1975,231400.0,14732.1
India,Bananas,1976,245800.0,15289.7
India,Bananas,1977,268800.0,15795.8
India,Bananas,1978,268400.0,16992.9
India,Bananas,1979,274400.0,15574.0
India,Bananas,1980,291300.0,14946.8
India,Bananas,1981,290900.0,15744.2
India,Bananas,1982,284900.0,14816.8
India,Bananas,1983,282900.0,16428.8
India,Bananas,1984,301800.0,17388.0
India,Bananas,1985,304400.0,17706.3
India,Bananas,1986,300200.0,19034.0
India,Bananas,1987,306900.0,19282.8
India,Bananas,1988,500000.0,11979.8
India,Bananas,1989,332800.0,19258.4
India,Bananas,1990,365000.0,19597.3
India,Bananas,1991,378600.0,20742.5
India,Bananas,1992,425000.0,20054.1
India,Bananas,1993,433000.0,22967.7
India,Bananas,1994,441000.0,24231.3
India,Bananas,1995,428000.0,23789.7
